id,title,description,module,dueDate,courseID,graderID,totalPoints,published,submissionRequired,createdAt,updatedAt,allowEarlyECSubmissionIncentive,extraCreditTotalPointsIncentive,revokedECSubmissionIncentive
cmfx2o5fm002mxzz3jdthdb6b,"Assignment 1: If we reboot the alarm, we can get to the IP pixel through the multi-byte IB transmitter!",Arx quos quis curso cupiditas copiose careo. Valens armarium a carmen.,Module D,2026-09-11 05:34:20.292,cmfx2o3ed0028xzz3xopqfwa1,cmfx2o1pt000pxzz346bopwdv,85,true,true,2025-09-23 21:33:34.978,2025-09-23 21:33:34.978,false,0,false
cmfx2o84e0038xzz33281k3dl,Assignment 2: We need to index the haptic JSON transmitter!,A tardus callide arguo infit ab error conculco conor. Tollo tabesco suffragium.,Module A,2026-01-14 08:14:02.242,cmfx2o3ed0028xzz3xopqfwa1,cmfx2o1pt000kxzz3eqxhk5xt,53,true,true,2025-09-23 21:33:38.463,2025-09-23 21:33:38.463,true,0.8,false
cmfx2o8wj003exzz3d52c018f,Assignment 3: We need to transmit the back-end XML card!,Vinculum carmen suscipio admoveo id desipio cornu arx cornu. Maxime adficio atrox defero synagoga.,Module D,2026-03-29 03:12:03.887,cmfx2o3ed0028xzz3xopqfwa1,cmfx2o1pt000sxzz3ecsgerhb,58,false,true,2025-09-23 21:33:39.475,2025-09-23 21:33:39.475,false,0,false
cmfx2oc2w0044xzz3dvqjicqk,"Assignment 1: I'll bypass the primary THX driver, that should pixel the JSON feed!",Aestus sulum succedo abutor celo copia brevis tempora universe paulatim. Advoco adflicto aequus cerno dolor corrigo fugiat cultura.,Module A,2026-05-10 05:20:09.404,cmfx2oa09003oxzz3jpvjyebc,cmfx2o1pt000rxzz39xs5pw24,52,true,true,2025-09-23 21:33:43.593,2025-09-23 21:33:43.593,true,1,true
cmfx2ocbj0046xzz3eosehj3j,Assignment 2: You can't bypass the card without compressing the bluetooth PNG circuit!,Arca saepe contra curatio arbustum aspicio conspergo cognatus. Alii eum absum ventito animadverto.,Module A,2026-06-17 21:12:03.523,cmfx2oa09003oxzz3jpvjyebc,cmfx2o1pt000sxzz3ecsgerhb,100,true,true,2025-09-23 21:33:43.904,2025-09-23 21:33:43.904,false,0,true
cmfx2ociu0048xzz34upvi5so,"Assignment 3: The PCI driver is down, compress the virtual interface so we can quantify the IP matrix!",Tandem spes chirographum demonstro vapulus rem doloremque. Calcar trans angelus.,Module A,2026-08-07 07:20:12.836,cmfx2oa09003oxzz3jpvjyebc,cmfx2o1pt000nxzz3xglc4s96,53,false,true,2025-09-23 21:33:44.166,2025-09-23 21:33:44.166,true,0.8,false
cmfx2of6b004qxzz30o5a35xv,"Assignment 1: I'll index the online AI application, that should driver the SSL program!",Arx coadunatio aiunt. Vivo strues calco expedita vulgus voluptates quia crur.,Module B,2026-05-15 04:24:06.961,cmfx2ocxl004axzz341nos9ui,cmfx2o1pt000lxzz32211tlo2,53,true,true,2025-09-23 21:33:47.603,2025-09-23 21:33:47.603,false,0,false
cmfx2oh3z0058xzz32k2e0wnm,"Assignment 2: If we bypass the bus, we can get to the VGA transmitter through the online TCP card!",Confido accusator articulus adopto a. Incidunt certe aetas.,Module D,2026-09-15 05:22:06.208,cmfx2ocxl004axzz341nos9ui,cmfx2o1pt000oxzz31ofaqa5x,99,true,true,2025-09-23 21:33:50.111,2025-09-23 21:33:50.111,false,0,false
cmfx2ojg5005uxzz3ez03s8wq,"Assignment 3: Try to synthesize the FTP bandwidth, maybe it will hack the wireless program!",Accusantium beneficium derideo. Similique derelinquo demoror appositus textor.,Module B,2026-09-04 02:06:45.615,cmfx2ocxl004axzz341nos9ui,cmfx2o1pt000exzz3sabbhw19,41,false,true,2025-09-23 21:33:53.141,2025-09-23 21:33:53.141,true,0.4,false
cmfx2omz5006kxzz39mdorae0,"Assignment 1: If we navigate the circuit, we can get to the CLI circuit through the multi-byte AGP interface!",Avaritia eos nihil curia admoveo aegrotatio decerno aspernatur annus. Deserunt aperiam amicitia suscipit.,Module A,2026-01-30 23:47:35.134,cmfx2okj40064xzz3n13292b2,cmfx2o1pt000ixzz3qk7tyocr,25,true,true,2025-09-23 21:33:57.714,2025-09-23 21:33:57.714,true,0.4,false
cmfx2oq7v0076xzz30inbydcc,Assignment 2: You can't index the hard drive without connecting the cross-platform HTTP system!,Pel tardus vere theatrum acervus similique cavus repellendus. Adduco conicio angelus distinctio ambitus.,Module D,2026-05-28 07:36:26.187,cmfx2okj40064xzz3n13292b2,cmfx2o1pt000mxzz3vn5ayas1,55,true,true,2025-09-23 21:34:01.915,2025-09-23 21:34:01.915,true,0.5,false
cmfx2oqv1007cxzz3hy1ihbh4,Assignment 3: We need to program the back-end CLI array!,Sono adopto cetera voluptates ater cariosus supplanto textor. Amita deficio eaque ambulo.,Module A,2026-07-12 19:20:31.02,cmfx2okj40064xzz3n13292b2,cmfx2o1pt000fxzz3aesbtqzk,32,false,true,2025-09-23 21:34:02.75,2025-09-23 21:34:02.75,true,0.8,true
cmfx2ow030082xzz3uns1zb4k,"Assignment 1: Try to transmit the VGA firewall, maybe it will transmit the bluetooth bus!",Titulus umbra aperiam carbo abundans cenaculum. Vulnus caritas defluo ulterius uredo tollo cum acidus admitto defaeco.,Module B,2025-12-14 08:21:23.614,cmfx2osfc007qxzz3l9dslk4m,cmfx2o1pt000kxzz3eqxhk5xt,53,true,true,2025-09-23 21:34:09.412,2025-09-23 21:34:09.412,true,0.7,false
cmfx2owq40088xzz34ym14w0f,Assignment 2: We need to generate the primary PNG array!,Ciminatio adulescens derideo amplus eum comitatus. Accedo nisi amet laboriosam.,Module A,2026-01-25 17:33:08.329,cmfx2osfc007qxzz3l9dslk4m,cmfx2o1pt000ixzz3qk7tyocr,61,true,true,2025-09-23 21:34:10.348,2025-09-23 21:34:10.348,false,0,false
cmfx2oxdb008exzz3tttg1liy,"Assignment 3: The PCI bus is down, parse the solid state port so we can navigate the SMTP bus!",Thymbra thesaurus conforto certe charisma theca. Auxilium quibusdam bos talis.,Module A,2026-01-28 08:30:11.351,cmfx2osfc007qxzz3l9dslk4m,cmfx2o1pt000fxzz3aesbtqzk,18,false,true,2025-09-23 21:34:11.183,2025-09-23 21:34:11.183,false,0,false
cmfx2p3pa0094xzz36vyjn378,"Assignment 1: Use the digital HDD interface, then you can copy the digital matrix!",Candidus desparatus alienus charisma candidus validus. Versus ea capillus cervus adhuc comparo paens adhaero.,Module D,2026-06-29 14:05:12.316,cmfx2oygs008oxzz333k6tebi,cmfx2o1pt000pxzz346bopwdv,44,true,true,2025-09-23 21:34:19.39,2025-09-23 21:34:19.39,false,0,true
cmfx2p4cq009axzz34onf7wgs,Assignment 2: We need to synthesize the 1080p JBOD capacitor!,Theatrum utpote volva explicabo brevis corporis at sufficio callide somnus. Ubi aedificium subseco cetera vulgus volaticus.,Module A,2026-01-28 13:36:05.943,cmfx2oygs008oxzz333k6tebi,cmfx2o1pt000hxzz3vg3vd6tz,66,true,true,2025-09-23 21:34:20.234,2025-09-23 21:34:20.234,false,0,true
cmfx2p5zw009kxzz3nux8igsl,"Assignment 3: Try to quantify the SQL panel, maybe it will connect the optical pixel!",Caste cetera vox abbas. Advoco contra trans turba stultus.,Module D,2026-07-14 07:27:59.686,cmfx2oygs008oxzz333k6tebi,cmfx2o1pt000kxzz3eqxhk5xt,73,false,true,2025-09-23 21:34:22.364,2025-09-23 21:34:22.364,false,0,false